ACTION_TYPE,EVENTTIME,GAME_DATE,GAME_EVENT_ID,HTM,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,QUARTER,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_TIME,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME,VTM
Jump Shot,456,20151106,932,NYK,215.5241,-1.5999,7,2,201573,Jerryd Bayless,2.0,36,1,23,458.57,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612749,Milwaukee Bucks,MIL
Turnaround Jump Shot,368,20151225,4095,LAL,-191.7633,118.6288,6,2,201579,Roy Hibbert,2.0,8,1,8,385.24,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAC
Jump Shot,237,20151110,4408,TOR,-225.3806,10.7323,3,1,202498,Lance Thomas,1.0,57,1,18,239.12,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612752,New York Knicks,NYK
Alley Oop Dunk Shot,112,20151030,702,CLE,-10.7588,21.1016,1,1,202684,Tristan Thompson,1.0,52,1,0,127.69,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612739,Cleveland Cavaliers,MIA
Jump Shot,76,20160106,6494,OKC,130.1897,152.5408,1,3,203210,JaMychal Green,3.0,16,1,19,97.09,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612763,Memphis Grizzlies,MEM
Jump Shot,660,20151204,1035,NYK,214.5638,16.4258,11,3,204001,Kristaps Porzingis,3.0,0,1,21,662.09,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612752,New York Knicks,BKN
Jump Shot,609,20160118,950,CHA,16.4718,75.6786,10,2,1626163,Frank Kaminsky,2.0,9,1,3,634.8,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets,UTA
Tip Layup Shot,141,20151215,5003,MIN,94.8305,236.4281,2,4,202702,Kenneth Faried,4.0,21,1,0,137.05,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets,DEN
Hook Shot,142,20151106,2864,NYK,-50.9177,9.1201,2,1,203089,John Henson,1.0,22,1,4,144.57,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612749,Milwaukee Bucks,MIL
Putback Layup Shot,397,20151118,6661,ORL,-150.7463,134.5485,6,2,203952,Andrew Wiggins,2.0,37,1,0,380.26,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves,MIN
